Attribute,Description,Standard value,Unit,Data type
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",False,--,bool
``color``,Color for plot,#3A880A,hex,str
``efficiancy``,Conversion efficiency,0.6,--,float
``capacity_kW``,maximum power,inf,kW,float
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0.69,kg CO2/kWh,float
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int
``om_cost``,Operation and maintenance cost per consumed carrier unit,0,CHF/kWh,float
``capital_cost``,CAPEX cost of technology per unit of capacity.,8268,CHF/kWp,float
``maintenance_cost``,OPEX cost of the technology per unit of capacity,10,CHF/kWp/year,float
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float
