Attribute,Description,Standard value,Unit,Data type
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",False,--,bool
``kW_el_max``,Maximum electrical power output.,inf,kW_el,str/float
``force_cap_max``,Force implementation of maximum capacity specified in kW_el_max. Only relevant for optimisation.,False,kW,bool
``cap_min_use``,,0,kW,float
``annual_msw_supply``,,inf,kg/year,str
``hv_msw_MJpkg``,Lower heating value of municipal solid waste (MSW).,12,MJ/kg,float
``eta_el``,Electrical conversion efficiency.,0.35,--,float
``htp_ratio``,Heat-to-power (htp) ratio (kW_th/kW_el),1.5,kW_th/kW_el,float
``msw_price_CHFpkg``,Price of municipal solid waste. Will usually be negative (i.e. revenue).,-0.3,CHF/kg,float
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0.645,kg CO2/kWh,float
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int
``capital_cost``,CAPEX cost of technology per unit of capacity.,2000,CHF/kWp,float
``maintenance_cost``,OPEX cost of technology per unit of capacity.,119,CHF/kWp/year,float
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float
